iter	Logloss
0	0.6867881979
1	0.6816364085
2	0.676115003
3	0.6718834943
4	0.6674971902
5	0.6636197681
6	0.6599209404
7	0.6564037754
8	0.6531761173
9	0.6501873844
10	0.6479104209
11	0.6455634982
12	0.6431950516
13	0.6408542564
14	0.638746851
15	0.6367793709
16	0.6351615282
17	0.6335138466
18	0.6322269112
19	0.6308451537
20	0.6295760449
21	0.628231038
22	0.6271681565
23	0.6260986605
24	0.6251527235
25	0.6242663504
26	0.6232855145
27	0.6225708386
28	0.6217182422
29	0.6210657438
30	0.6202563682
31	0.6194309888
32	0.6186748771
33	0.6179800671
34	0.6172435479
35	0.6165568218
36	0.6159385401
37	0.6152301249
38	0.6146567237
39	0.6141802705
40	0.6135619371
41	0.6129627365
42	0.6124772635
43	0.6120573797
44	0.6116302073
45	0.6111514444
46	0.6107771002
47	0.6103265779
48	0.6099333776
49	0.609571453
50	0.6092833797
51	0.6088496978
52	0.6083655636
53	0.607901972
54	0.6074627617
55	0.6070432394
56	0.6066598953
57	0.6061714862
58	0.6058832792
59	0.6055594191
60	0.6052074196
61	0.6048804801
62	0.6046364643
63	0.6042847315
64	0.6039757291
65	0.6036569597
66	0.6033658921
67	0.6030600529
68	0.6027891545
69	0.6024754887
70	0.6021981396
71	0.6017580113
72	0.6013687418
73	0.6010581213
74	0.6007443262
75	0.6005620592
76	0.6003442615
77	0.6000960206
78	0.5998262945
79	0.599523314
80	0.5991930554
81	0.5989349429
82	0.5988821672
83	0.5987444268
84	0.5985048561
85	0.5981614378
86	0.5978285582
87	0.5975143981
88	0.5973143402
89	0.5970417957
90	0.5967656984
91	0.5964782369
92	0.5962616982
93	0.5960556559
94	0.5957913443
95	0.5956200349
96	0.5954284028
97	0.5952444366
98	0.5950356563
99	0.5948864238
100	0.5946117633
101	0.5943713477
102	0.5940853693
103	0.5938368115
104	0.5936319982
105	0.5933155755
106	0.5930447503
107	0.5928486794
108	0.5925421743
109	0.5923456995
110	0.5921751626
111	0.5919875389
112	0.591786951
113	0.5915370696
114	0.5913277623
115	0.5911709916
116	0.5909283523
117	0.5907118293
118	0.5904833307
119	0.5902171234
120	0.5900215855
121	0.5899068183
122	0.5896922669
123	0.589558228
124	0.5893045896
125	0.5891573074
126	0.5889818575
127	0.5887540277
128	0.5885923962
129	0.5884615027
130	0.5883000446
131	0.5881127249
132	0.5878653958
133	0.587716215
134	0.5874798557
135	0.5873774643
136	0.5871870487
137	0.5870414426
138	0.5867640616
139	0.5865427124
140	0.5863337576
141	0.5861980428
142	0.5859563062
143	0.5857434306
144	0.5855340611
145	0.5853689664
146	0.5853032491
147	0.5851382532
148	0.5848892288
149	0.5846896432
150	0.5845105243
151	0.5843689898
152	0.5841775132
153	0.5840469043
154	0.5839093912
155	0.5836801283
156	0.5835318318
157	0.5834039063
158	0.5832593633
159	0.5831470244
160	0.5830217142
161	0.5828572931
162	0.5826985848
163	0.5825433931
164	0.5823925139
165	0.5823073034
166	0.5821808836
167	0.5819883664
168	0.5818036578
169	0.5816227393
170	0.5815101669
171	0.5813547259
172	0.5811902848
173	0.5810599265
174	0.5808446488
175	0.5806087373
176	0.5804175945
