iter	Passed	Remaining
0	55	27919
1	97	24187
2	136	22537
3	177	22011
4	220	21790
5	262	21629
6	308	21722
7	350	21528
8	391	21331
9	436	21389
10	479	21299
11	519	21125
12	561	21023
13	602	20900
14	643	20810
15	683	20679
16	726	20653
17	769	20597
18	814	20628
19	856	20566
20	899	20519
21	947	20583
22	991	20553
23	1033	20504
24	1077	20469
25	1123	20477
26	1165	20419
27	1206	20333
28	1252	20338
29	1298	20346
30	1341	20289
31	1384	20249
32	1431	20254
33	1475	20222
34	1517	20163
35	1560	20109
36	1600	20032
37	1642	19969
38	1684	19912
39	1727	19862
40	1768	19800
41	1822	19872
42	1864	19814
43	1911	19811
44	1961	19830
45	2004	19780
46	2050	19758
47	2102	19799
48	2143	19730
49	2202	19822
50	2245	19770
51	2286	19697
52	2330	19655
53	2372	19591
54	2413	19524
55	2453	19452
56	2495	19396
57	2541	19365
58	2583	19312
59	2631	19295
60	2674	19246
61	2718	19203
62	2760	19144
63	2801	19084
64	2842	19024
65	2902	19083
66	2961	19136
67	3004	19085
68	3051	19058
69	3093	19000
70	3138	18965
71	3180	18906
72	3227	18881
73	3270	18828
74	3311	18767
75	3352	18701
76	3398	18668
77	3440	18611
78	3480	18549
79	3522	18490
80	3562	18429
81	3603	18366
82	3629	18233
83	3672	18189
84	3719	18162
85	3787	18231
86	3832	18191
87	3874	18139
88	3936	18177
89	3979	18126
90	4021	18075
91	4065	18031
92	4108	17980
93	4149	17922
94	4192	17873
95	4239	17842
96	4283	17795
97	4325	17745
98	4379	17739
99	4424	17697
100	4466	17645
101	4508	17592
102	4548	17533
103	4594	17495
104	4636	17441
105	4677	17387
106	4721	17341
107	4763	17288
108	4804	17233
109	4848	17189
110	4889	17136
111	4930	17080
112	4970	17024
113	5018	16991
114	5060	16941
115	5106	16904
116	5148	16853
117	5189	16798
118	5236	16764
119	5282	16728
120	5325	16681
121	5368	16632
122	5422	16620
123	5462	16563
124	5506	16520
125	5546	16464
126	5589	16417
127	5631	16367
128	5672	16313
129	5717	16272
130	5766	16242
131	5822	16233
132	5882	16231
133	5929	16194
134	5975	16155
135	6019	16110
136	6066	16072
137	6106	16018
138	6147	15964
139	6186	15908
140	6241	15891
141	6285	15846
142	6328	15799
143	6374	15759
144	6417	15711
145	6458	15659
146	6498	15605
147	6538	15551
148	6583	15508
149	6623	15453
150	6669	15415
151	6711	15365
152	6752	15313
153	6796	15271
154	6842	15231
155	6883	15179
156	6923	15124
157	6965	15076
158	7005	15024
159	7047	14975
160	7093	14936
161	7141	14899
162	7183	14852
163	7231	14815
164	7276	14772
165	7319	14726
166	7361	14679
167	7406	14636
168	7452	14596
169	7507	14573
170	7548	14523
171	7589	14473
172	7647	14454
173	7686	14401
174	7726	14349
175	7770	14303
176	7829	14288
177	7875	14247
178	7918	14200
179	7960	14151
180	8002	14103
181	8045	14056
182	8085	14006
183	8129	13962
184	8169	13910
185	8214	13867
186	8255	13817
187	8298	13772
188	8342	13726
189	8388	13686
190	8430	13639
191	8471	13589
192	8517	13548
193	8560	13502
194	8601	13454
195	8642	13404
196	8687	13361
197	8727	13312
198	8767	13261
199	8806	13209
200	8848	13162
201	8888	13112
202	8944	13086
203	8992	13048
204	9036	13003
205	9077	12954
206	9116	12904
207	9156	12854
208	9220	12837
209	9267	12797
210	9316	12760
211	9362	12719
212	9406	12673
213	9448	12627
214	9505	12600
215	9548	12553
216	9589	12505
217	9629	12455
218	9668	12405
219	9740	12396
220	9780	12347
221	9824	12302
222	9887	12281
223	9949	12258
224	9990	12210
225	10034	12165
226	10085	12129
227	10126	12080
228	10168	12033
229	10210	11985
230	10250	11936
231	10294	11892
232	10338	11847
233	10379	11799
234	10419	11749
235	10459	11700
236	10499	11651
237	10543	11606
238	10585	11559
239	10626	11512
240	10675	11472
241	10719	11428
242	10761	11381
243	10804	11336
244	10846	11289
245	10894	11248
246	10939	11204
247	10980	11157
248	11021	11109
249	11064	11064
250	11105	11016
251	11143	10967
252	11183	10918
253	11226	10872
254	11270	10828
255	11312	10782
256	11356	10738
257	11397	10690
258	11438	10643
259	11487	10603
260	11527	10555
261	11570	10510
262	11614	10466
263	11657	10421
264	11699	10375
265	11744	10331
266	11785	10284
267	11832	10243
268	11872	10195
269	11915	10150
270	11957	10104
271	11997	10056
272	12036	10008
273	12077	9961
274	12116	9913
275	12162	9870
276	12208	9828
277	12248	9780
278	12288	9734
279	12479	9805
280	12559	9788
281	12609	9747
282	12669	9714
283	12746	9694
284	12802	9658
285	12849	9614
286	12892	9568
287	12945	9529
288	12988	9483
289	13033	9438
290	13075	9390
291	13121	9346
292	13170	9304
293	13219	9262
294	13267	9219
295	13316	9177
296	13364	9134
297	13417	9095
298	13473	9057
299	13535	9023
300	13590	8985
301	13636	8940
302	13686	8898
303	13732	8853
304	13786	8814
305	13835	8771
306	13888	8731
307	13944	8692
308	13992	8648
309	14043	8607
310	14089	8562
311	14132	8515
312	14181	8472
313	14225	8426
314	14275	8383
315	14322	8339
316	14368	8294
317	14411	8247
318	14454	8201
319	14501	8157
320	14548	8112
321	14591	8066
322	14635	8020
323	14676	7972
324	14724	7928
325	14767	7882
326	14816	7838
327	14860	7792
328	14904	7746
329	14947	7700
330	14989	7653
331	15037	7609
332	15082	7563
333	15133	7521
334	15179	7476
335	15224	7430
336	15267	7384
337	15310	7338
338	15355	7292
339	15398	7246
340	15440	7199
341	15491	7157
342	15545	7115
343	15590	7070
344	15636	7024
345	15681	6979
346	15726	6934
347	15769	6887
348	15812	6841
349	15860	6797
350	15904	6751
351	15946	6704
352	15993	6659
353	16039	6615
354	16084	6569
355	16130	6524
356	16173	6478
357	16217	6432
358	16260	6386
359	16304	6340
360	16355	6297
361	16401	6252
362	16445	6206
363	16493	6162
364	16540	6117
365	16587	6072
366	16632	6027
367	16675	5981
368	16719	5935
369	16761	5889
370	16805	5843
371	16847	5797
372	16893	5752
373	16948	5709
374	16991	5663
375	17041	5620
376	17085	5574
377	17129	5528
378	17184	5486
379	17233	5442
380	17276	5396
381	17319	5350
382	17361	5303
383	17403	5257
384	17447	5211
385	17491	5165
386	17534	5120
387	17582	5075
388	17625	5029
389	17673	4984
390	17717	4939
391	17760	4893
392	17803	4847
393	17851	4802
394	17894	4756
395	17937	4710
396	17979	4664
397	18030	4620
398	18073	4574
399	18117	4529
400	18163	4484
401	18209	4439
402	18259	4394
403	18304	4349
404	18347	4303
405	18389	4257
406	18431	4211
407	18478	4166
408	18523	4121
409	18567	4075
410	18612	4030
411	18655	3984
412	18700	3939
413	18743	3893
414	18796	3849
415	18841	3804
416	18882	3758
417	18926	3712
418	18968	3666
419	19019	3622
420	19064	3577
421	19109	3532
422	19151	3486
423	19194	3440
424	19241	3395
425	19285	3350
426	19326	3304
427	19368	3258
428	19415	3213
429	19458	3167
430	19500	3121
431	19541	3075
432	19582	3030
433	19624	2984
434	19671	2939
435	19715	2894
436	19757	2848
437	19801	2802
438	19843	2757
439	19890	2712
440	19939	2667
441	19984	2622
442	20032	2577
443	20081	2532
444	20126	2487
445	20170	2442
446	20217	2397
447	20261	2351
448	20304	2306
449	20346	2260
450	20393	2215
451	20437	2170
452	20480	2124
453	20522	2079
454	20564	2033
455	20607	1988
456	20652	1943
457	20694	1897
458	20740	1852
459	20783	1807
460	20825	1761
461	20879	1717
462	20921	1671
463	20963	1626
464	21016	1581
465	21057	1536
466	21102	1491
467	21147	1445
468	21190	1400
469	21238	1355
470	21282	1310
471	21325	1265
472	21370	1219
473	21412	1174
474	21458	1129
475	21500	1084
476	21547	1038
477	21592	993
478	21636	948
479	21679	903
480	21721	858
481	21766	812
482	21812	767
483	21853	722
484	21894	677
485	21938	631
486	21981	586
487	22026	541
488	22066	496
489	22111	451
490	22154	406
491	22198	360
492	22241	315
493	22283	270
494	22348	225
495	22390	180
496	22431	135
497	22476	90
498	22519	45
499	22564	0
