param_depth,param_iterations,param_learning_rate,param_l2_leaf_reg,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_weighted_f1,rank_test_weighted_f1
8,500,0.03,3,0.673997514596794,0.6799986094303428,0.6573747655374681,0.6739061929489183,1
6,300,0.05,3,0.6737690598504837,0.680271576777638,0.6557753693794331,0.6736620712270506,2
6,500,0.05,3,0.6732834304584775,0.6788869265145036,0.6576605156775926,0.6732011163369426,3
8,300,0.05,3,0.6729693715672408,0.6791070496437509,0.6558325252806453,0.6728720524004973,4
6,500,0.03,3,0.6727979454613638,0.6799338622941008,0.6529764236557106,0.6726689509664906,5
8,300,0.03,3,0.6727122678953057,0.680012409424501,0.652462177163129,0.6725772336453737,6
4,500,0.05,3,0.6724551984865652,0.6789783052247454,0.6542903437556958,0.6723453426278613,7
8,500,0.05,3,0.6719982645202341,0.6767834880165927,0.6584601794963508,0.6719373048597053,8
4,500,0.03,3,0.6715697714529879,0.6795308828587028,0.6494348525506958,0.6714084900358449,9
4,300,0.05,3,0.6714269502200566,0.679221959097512,0.6497775334531855,0.671271570350339,10
6,300,0.03,3,0.6708271778891968,0.6796687157661602,0.6462358644617155,0.6706275730523313,11
4,300,0.03,3,0.6689135539839027,0.6791593935412047,0.640352222874146,0.6686430374551137,12
