iter	Logloss
0	0.6893241771
1	0.6858921596
2	0.6827641123
3	0.6798577364
4	0.6771089577
5	0.6745337719
6	0.6720979315
7	0.6699501685
8	0.6678920615
9	0.6660979242
10	0.6644132359
11	0.6627212648
12	0.6611735829
13	0.6597244287
14	0.6584325775
15	0.6572003165
16	0.6560155341
17	0.65495237
18	0.6539297544
19	0.6529914245
20	0.6520651225
21	0.6511815828
22	0.650293013
23	0.6495040538
24	0.6487541334
25	0.6480679399
26	0.6473808245
27	0.6467405167
28	0.6460821929
29	0.6454639504
30	0.6448836073
31	0.6443376294
32	0.643834237
33	0.6433276007
34	0.6428167433
35	0.642328108
36	0.6418735152
37	0.6414271671
38	0.6410301265
39	0.6406171065
40	0.6402507147
41	0.6398910952
42	0.6395292391
43	0.6391759015
44	0.6388073869
45	0.638476713
46	0.6381659111
47	0.6378630018
48	0.637563094
49	0.6372605788
50	0.6369787912
51	0.6367038788
52	0.636433496
53	0.6361458433
54	0.6358878319
55	0.6356588155
56	0.6354092948
57	0.6351716113
58	0.6349494565
59	0.6347278785
60	0.6345153802
61	0.6342864083
62	0.6340581962
63	0.6338643447
64	0.6336687141
65	0.633490035
66	0.6332782433
67	0.6330937111
68	0.6329288127
69	0.6327372902
70	0.6325759023
71	0.632399233
72	0.6322213966
73	0.6320614079
74	0.6318969273
75	0.6317311221
76	0.6315661592
77	0.6314055221
78	0.6312557963
79	0.6310919785
80	0.6309454796
81	0.6308216443
82	0.6306676548
83	0.6305490593
84	0.6304025233
85	0.6302665058
86	0.630120567
87	0.6299876345
88	0.6298666109
89	0.6297491492
90	0.6296264077
91	0.6295152804
92	0.6293991997
93	0.629273681
94	0.6291478602
95	0.6290256329
96	0.628909833
97	0.6287969564
98	0.6286724786
99	0.628563679
100	0.6284693752
101	0.6283474642
102	0.628228659
103	0.6281224542
104	0.6280104177
105	0.6279184472
106	0.6278355757
107	0.6277416833
108	0.6276522598
109	0.6275478692
110	0.6274416209
111	0.627344145
112	0.6272524599
113	0.6271657966
114	0.6270800927
115	0.6269862374
116	0.6269032809
117	0.6268151135
118	0.626734963
119	0.6266525706
120	0.6265750101
121	0.6265062768
122	0.6264456287
123	0.6263533306
124	0.6262709034
125	0.6261916897
126	0.626115595
127	0.626048985
128	0.625970636
129	0.6258906334
130	0.625816025
131	0.6257493916
