iter	Passed	Remaining
0	89	44898
1	185	46229
2	279	46371
3	371	46107
4	463	45905
5	552	45455
6	641	45193
7	727	44747
8	818	44649
9	900	44135
10	988	43949
11	1073	43647
12	1165	43660
13	1255	43597
14	1353	43773
15	1446	43752
16	1549	44012
17	1635	43803
18	1725	43676
19	1816	43591
20	1909	43565
21	2001	43487
22	2107	43713
23	2195	43535
24	2284	43411
25	2378	43365
26	2467	43220
27	2557	43105
28	2646	42989
29	2736	42874
30	2828	42799
31	2924	42768
32	3008	42571
33	3098	42464
34	3188	42361
35	3278	42257
36	3375	42237
37	3463	42103
38	3551	41976
39	3636	41819
40	3716	41607
41	3802	41469
42	3894	41388
43	3979	41243
44	4069	41152
45	4160	41060
46	4248	40946
47	4348	40947
48	4448	40940
49	4541	40874
50	4633	40792
51	4719	40657
52	4806	40541
53	4892	40408
54	4982	40312
55	5070	40203
56	5163	40131
57	5255	40048
58	5357	40047
59	5454	40000
60	5540	39876
61	5638	39832
62	5726	39722
63	5811	39590
64	5904	39515
65	5995	39426
66	6084	39323
67	6171	39208
68	6256	39078
69	6353	39028
70	6444	38941
71	6539	38873
72	6636	38820
73	6743	38819
74	6836	38741
75	6926	38642
76	7023	38586
77	7118	38515
78	7209	38420
79	7299	38319
80	7398	38272
81	7489	38177
82	7579	38080
83	7674	38004
84	7763	37902
85	7853	37804
86	7938	37686
87	8032	37605
88	8123	37515
89	8217	37435
90	8306	37335
91	8414	37318
92	8504	37218
93	8600	37145
94	8693	37060
95	8784	36967
96	8880	36893
97	8970	36797
98	9063	36710
99	9159	36636
100	9245	36526
101	9338	36438
102	9427	36336
103	9519	36248
104	9607	36140
105	9696	36040
106	9783	35933
107	9872	35834
108	9959	35727
109	10050	35635
110	10138	35531
111	10221	35410
112	10313	35322
113	10403	35227
114	10493	35128
115	10583	35034
116	10673	34939
117	10760	34833
118	10853	34748
119	10943	34654
120	11038	34574
121	11129	34481
122	11222	34397
123	11320	34326
124	11419	34257
125	11508	34160
126	11602	34076
127	11691	33978
128	11785	33895
129	11876	33801
130	11961	33693
131	12054	33607
132	12154	33538
133	12250	33460
134	12344	33375
135	12441	33299
136	12530	33200
137	12625	33118
138	12716	33025
139	12803	32922
140	12889	32817
141	12975	32713
142	13065	32617
143	13157	32529
144	13250	32441
145	13355	32381
146	13444	32286
147	13530	32181
148	13619	32084
149	13711	31993
150	13797	31889
151	13887	31794
152	13978	31703
153	14066	31603
154	14163	31525
155	14252	31428
156	14346	31343
157	14432	31240
158	14518	31136
159	14605	31037
160	14698	30948
161	14782	30842
162	14873	30750
163	14964	30659
164	15065	30587
165	15160	30503
166	15259	30426
167	15362	30358
168	15463	30285
169	15552	30190
170	15649	30108
171	15748	30031
172	15840	29940
173	15932	29850
174	16024	29759
175	16118	29672
176	16220	29600
177	16317	29519
178	16409	29426
179	16499	29333
180	16591	29242
181	16684	29151
182	16774	29057
183	16866	28967
184	16963	28884
185	17059	28799
186	17150	28706
187	17243	28616
188	17348	28547
189	17446	28465
190	17531	28362
191	17624	28272
192	17717	28182
193	17808	28089
194	17899	27997
195	17991	27905
196	18082	27812
197	18183	27733
198	18277	27646
199	18375	27562
200	18466	27470
201	18561	27382
202	18654	27292
203	18743	27196
204	18832	27100
205	18925	27009
206	19014	26914
207	19119	26841
208	19206	26741
209	19308	26663
210	19399	26570
211	19491	26479
212	19582	26385
213	19678	26299
214	19774	26212
215	19872	26128
216	19986	26065
217	20074	25967
218	20169	25879
219	20259	25784
220	20363	25708
221	20457	25617
222	20548	25523
223	20647	25440
224	20742	25352
225	20838	25264
226	20935	25177
227	21024	25082
228	21125	25000
229	21214	24904
230	21311	24817
231	21402	24723
232	21515	24654
233	21606	24561
234	21697	24467
235	21793	24379
236	21890	24291
237	21983	24200
238	22083	24116
239	22175	24023
240	22274	23938
241	22375	23854
242	22467	23761
243	22561	23671
244	22655	23580
245	22743	23482
246	22833	23388
247	22929	23298
248	23022	23207
249	23116	23116
250	23213	23028
251	23315	22945
252	23409	22854
253	23504	22764
254	23598	22673
255	23692	22581
256	23779	22484
257	23872	22391
258	23986	22319
259	24079	22226
260	24172	22135
261	24262	22039
262	24361	21952
263	24444	21851
264	24539	21761
265	24634	21671
266	24726	21577
267	24819	21485
268	24911	21392
269	25002	21298
270	25093	21204
271	25185	21111
272	25283	21023
273	25375	20930
274	25467	20836
275	25554	20740
276	25645	20645
277	25738	20554
278	25837	20466
279	25938	20380
280	26031	20287
281	26125	20196
282	26215	20101
283	26318	20017
284	26408	19922
285	26499	19828
286	26596	19739
287	26686	19643
288	26777	19550
289	26871	19458
290	26965	19366
291	27058	19274
292	27151	19182
293	27246	19090
294	27342	19000
295	27430	18904
296	27528	18815
297	27621	18722
298	27711	18628
299	27805	18537
300	27895	18442
301	27988	18349
302	28072	18251
303	28156	18153
304	28252	18063
305	28348	17972
306	28437	17877
307	28533	17787
308	28626	17694
309	28719	17602
310	28821	17515
311	28912	17421
312	29008	17331
313	29099	17237
314	29188	17142
315	29285	17052
316	29380	16960
317	29471	16867
318	29564	16774
319	29655	16681
320	29747	16588
321	29840	16495
322	29933	16403
323	30026	16310
324	30112	16214
325	30203	16121
326	30312	16036
327	30409	15946
328	30503	15854
329	30600	15763
330	30689	15669
331	30782	15576
332	30875	15484
333	30969	15391
334	31073	15304
335	31165	15211
336	31262	15120
337	31362	15031
338	31452	14937
339	31541	14842
340	31632	14749
341	31721	14655
342	31812	14561
343	31901	14466
344	31989	14372
345	32096	14285
346	32187	14192
347	32286	14102
348	32379	14009
349	32470	13916
350	32559	13821
351	32650	13728
352	32741	13634
353	32840	13544
354	32933	13451
355	33024	13358
356	33116	13265
357	33206	13171
358	33310	13082
359	33405	12991
360	33501	12899
361	33592	12805
362	33689	12714
363	33779	12620
364	33871	12527
365	33963	12434
366	34055	12341
367	34146	12248
368	34249	12158
369	34346	12067
370	34445	11976
371	34538	11884
372	34630	11791
373	34721	11697
374	34807	11602
375	34899	11509
376	34989	11415
377	35077	11321
378	35169	11228
379	35269	11137
380	35361	11044
381	35449	10950
382	35538	10856
383	35621	10760
384	35712	10667
385	35809	10575
386	35904	10483
387	36000	10391
388	36089	10298
389	36184	10205
390	36286	10115
391	36376	10022
392	36467	9928
393	36559	9835
394	36648	9741
395	36747	9650
396	36836	9557
397	36929	9464
398	37016	9370
399	37109	9277
400	37200	9184
401	37299	9092
402	37397	9001
403	37494	8909
404	37583	8815
405	37678	8723
406	37772	8631
407	37864	8538
408	37953	8444
409	38052	8353
410	38149	8261
411	38259	8171
412	38358	8080
413	38447	7986
414	38536	7892
415	38632	7800
416	38722	7707
417	38814	7614
418	38909	7521
419	39001	7428
420	39090	7335
421	39175	7241
422	39275	7149
423	39364	7055
424	39456	6962
425	39553	6870
426	39646	6778
427	39747	6686
428	39844	6594
429	39934	6500
430	40026	6408
431	40117	6314
432	40208	6221
433	40313	6130
434	40409	6038
435	40502	5945
436	40594	5852
437	40686	5759
438	40778	5666
439	40865	5572
440	40958	5479
441	41063	5388
442	41155	5295
443	41258	5203
444	41361	5112
445	41454	5019
446	41542	4925
447	41631	4832
448	41724	4739
449	41816	4646
450	41910	4553
451	42002	4460
452	42093	4367
453	42184	4274
454	42286	4182
455	42380	4089
456	42472	3996
457	42565	3903
458	42668	3811
459	42760	3718
460	42858	3625
461	42948	3532
462	43042	3439
463	43133	3346
464	43232	3254
465	43337	3161
466	43431	3069
467	43535	2976
468	43635	2884
469	43731	2791
470	43825	2698
471	43918	2605
472	44011	2512
473	44103	2419
474	44206	2326
475	44311	2234
476	44404	2141
477	44514	2048
478	44606	1955
479	44701	1862
480	44789	1769
481	44879	1676
482	44974	1582
483	45066	1489
484	45157	1396
485	45253	1303
486	45368	1211
487	45458	1117
488	45551	1024
489	45641	931
490	45733	838
491	45834	745
492	45925	652
493	46015	558
494	46104	465
495	46199	372
496	46297	279
497	46392	186
498	46484	93
499	46576	0
