id,split,filled_emp_length
57167,test,1
57416,test,6
65104,test,2
65426,test,0
90376,test,0
90966,test,8
96844,test,7
98339,test,4
98982,test,1
109355,test,0
111227,test,6
117056,test,1
117794,test,1
118533,test,0
123228,test,0
126392,test,0
127472,test,0
131782,test,0
132172,test,0
132892,test,8
133301,test,10
137271,test,0
139790,test,0
140561,test,2
146564,test,4
157169,test,10
164346,test,0
167189,test,10
193630,test,4
197019,test,4
199889,test,2
202406,test,6
208191,test,10
218282,test,1
218325,test,2
220873,test,10
225054,test,6
228424,test,2
231005,test,10
232302,test,9
232947,test,10
235269,test,1
242260,test,0
242839,test,4
243280,test,0
243622,test,3
248817,test,10
254378,test,10
256704,test,10
257346,test,2
258603,test,4
260324,test,5
261382,test,0
262961,test,4
264267,test,1
265007,test,8
265521,test,5
267736,test,10
270568,test,5
273165,test,4
275790,test,9
278018,test,10
280193,test,7
288720,test,8
291037,test,10
292921,test,0
299092,test,3
302378,test,10
309904,test,0
310989,test,0
313139,test,1
313228,test,0
321575,test,1
323300,test,0
328105,test,0
333351,test,0
339287,test,3
342507,test,2
346566,test,0
346579,test,1
347265,test,2
347858,test,6
347987,test,2
348064,test,5
348145,test,2
348584,test,1
349348,test,8
349860,test,0
350405,test,9
350715,test,10
350826,test,3
351049,test,0
351053,test,4
351355,test,6
351369,test,1
351462,test,1
352252,test,8
352302,test,5
352484,test,5
352541,test,1
352787,test,0
353548,test,0
355476,test,2
355680,test,10
356181,test,2
356601,test,2
356756,test,1
357120,test,0
357873,test,7
358372,test,3
358417,test,10
358734,test,3
359183,test,10
359243,test,10
359727,test,9
360343,test,10
361161,test,10
361374,test,0
361530,test,10
362277,test,5
362386,test,10
362421,test,2
362721,test,1
362948,test,3
363009,test,3
363233,test,2
363247,test,10
363271,test,4
363281,test,10
363457,test,2
363593,test,1
363675,test,4
363765,test,0
364254,test,1
364256,test,1
364420,test,7
364448,test,7
364509,test,1
364713,test,4
364773,test,0
364805,test,6
364944,test,6
365044,test,8
365239,test,3
365326,test,0
365445,test,10
365474,test,0
366109,test,1
366783,test,6
366887,test,10
367112,test,2
367428,test,3
368150,test,10
368435,test,0
369008,test,0
369400,test,1
369981,test,10
370084,test,1
370893,test,10
370957,test,2
372591,test,8
372874,test,10
373090,test,0
373881,test,1
374120,test,2
374295,test,4
374658,test,10
374938,test,0
375272,test,7
375522,test,9
376019,test,1
376056,test,5
376664,test,9
377020,test,2
377021,test,4
377732,test,9
378481,test,3
378533,test,8
378851,test,2
379338,test,4
379373,test,1
379424,test,10
379465,test,2
379568,test,4
379665,test,1
379679,test,6
380572,test,4
380679,test,10
381084,test,7
381158,test,2
381265,test,2
381581,test,10
381694,test,1
381739,test,6
381874,test,0
382672,test,4
382680,test,2
382687,test,1
383701,test,10
383777,test,1
383934,test,2
383945,test,6
384157,test,10
384201,test,2
384276,test,9
384336,test,1
384343,test,8
384617,test,10
384946,test,2
385004,test,4
385010,test,1
385483,test,3
385924,test,7
386136,test,0
386228,test,8
387383,test,0
387566,test,1
387672,test,7
387759,test,5
388170,test,0
388417,test,5
388441,test,2
388538,test,2
388716,test,1
388719,test,3
388849,test,4
389021,test,7
389675,test,5
390144,test,10
391173,test,1
391175,test,7
391767,test,3
392041,test,0
392172,test,1
392748,test,10
393171,test,3
393379,test,5
393800,test,1
393852,test,10
395226,test,2
396135,test,1
396285,test,9
398197,test,3
398765,test,0
398891,test,10
399472,test,3
399592,test,3
401205,test,10
401829,test,0
401867,test,10
403091,test,5
403285,test,0
403312,test,4
403369,test,0
403609,test,4
403739,test,3
404361,test,10
404575,test,0
404601,test,6
405274,test,9
406135,test,2
406232,test,10
406643,test,10
407304,test,10
407572,test,5
408383,test,2
408419,test,10
408511,test,4
409001,test,6
409963,test,0
410093,test,7
411492,test,7
411759,test,4
412585,test,7
413036,test,2
413978,test,9
414165,test,7
414852,test,3
414971,test,1
415465,test,0
415485,test,5
415631,test,4
416002,test,5
416558,test,4
416813,test,1
418953,test,7
419504,test,3
421063,test,1
421199,test,3
421221,test,10
421847,test,10
422806,test,0
423315,test,10
423366,test,0
423412,test,1
423930,test,10
424804,test,10
425290,test,4
425556,test,0
425901,test,2
427070,test,10
427109,test,4
427315,test,4
427356,test,10
427370,test,5
427548,test,5
427860,test,2
427893,test,8
428300,test,10
428529,test,4
429255,test,0
429622,test,0
429806,test,3
430098,test,0
430697,test,4
430886,test,2
430971,test,3
431081,test,9
431155,test,9
431299,test,4
431408,test,3
431806,test,7
432058,test,10
433496,test,10
433589,test,4
433800,test,1
433832,test,1
433996,test,3
434055,test,9
434191,test,8
434246,test,0
434336,test,2
434797,test,6
435043,test,2
435468,test,9
436215,test,3
436278,test,0
436294,test,0
436579,test,10
436955,test,3
437284,test,6
437498,test,5
437852,test,0
438224,test,3
438271,test,1
438765,test,7
439010,test,10
439146,test,10
439421,test,10
439523,test,0
439530,test,5
439641,test,4
440469,test,10
440545,test,10
440548,test,2
440579,test,0
440695,test,1
440924,test,1
441061,test,0
441345,test,0
441414,test,3
441665,test,10
441909,test,6
441999,test,9
442140,test,0
442183,test,10
442216,test,2
442326,test,2
442355,test,2
442691,test,0
442869,test,9
442884,test,2
442958,test,8
443100,test,10
443251,test,2
443361,test,3
443419,test,3
443444,test,1
443671,test,10
444466,test,10
444563,test,2
444583,test,10
444831,test,6
444944,test,10
444960,test,2
445134,test,2
445388,test,0
446211,test,1
446864,test,0
447050,test,10
447413,test,4
447457,test,3
447475,test,4
447490,test,4
447558,test,8
447792,test,0
447858,test,4
447932,test,8
448316,test,8
448348,test,4
448439,test,2
448526,test,3
448655,test,5
448835,test,1
449172,test,9
449296,test,0
449299,test,1
449577,test,0
449939,test,7
450187,test,2
450188,test,7
450346,test,1
450656,test,10
452602,test,10
452768,test,10
452850,test,4
453018,test,9
453358,test,0
453462,test,0
453618,test,0
453620,test,0
453667,test,9
453900,test,0
454047,test,10
454105,test,3
454238,test,4
454264,test,0
454329,test,2
454824,test,3
455110,test,0
455261,test,8
455781,test,6
455821,test,0
456023,test,0
456335,test,2
456477,test,2
456582,test,3
456639,test,8
456940,test,5
456982,test,0
457103,test,4
457178,test,0
457562,test,4
457651,test,5
457678,test,10
457826,test,5
458328,test,0
458962,test,1
459076,test,4
459300,test,0
459545,test,0
459770,test,0
460192,test,0
460218,test,2
460307,test,0
460318,test,0
460505,test,2
460863,test,3
460894,test,7
461175,test,3
461379,test,10
461415,test,10
461556,test,4
461673,test,3
461680,test,2
461901,test,2
462068,test,7
462101,test,0
462175,test,3
462312,test,2
462714,test,3
463976,test,1
464368,test,2
464514,test,10
465172,test,4
465500,test,10
466321,test,9
466482,test,10
466516,test,0
466771,test,0
467154,test,3
467986,test,4
468011,test,1
468315,test,0
468409,test,2
468994,test,0
469115,test,10
469289,test,4
469353,test,8
469552,test,2
469683,test,0
469718,test,4
469743,test,0
469851,test,0
469880,test,0
470224,test,8
470284,test,2
470562,test,10
471113,test,10
471184,test,9
471412,test,10
471526,test,2
471580,test,5
472362,test,10
472364,test,10
472523,test,4
472555,test,6
473166,test,2
473198,test,10
473229,test,0
473276,test,4
473569,test,0
473807,test,0
474117,test,0
474135,test,1
474232,test,9
474256,test,5
474373,test,5
474596,test,1
474628,test,10
474646,test,3
475251,test,3
475492,test,3
475531,test,10
475809,test,0
475860,test,0
475868,test,5
475958,test,6
475995,test,3
476073,test,0
476468,test,10
476500,test,2
476557,test,0
476780,test,2
477042,test,3
477281,test,10
477332,test,9
477531,test,10
477794,test,5
478200,test,10
478643,test,3
479171,test,7
479444,test,8
479493,test,3
479819,test,7
479954,test,5
480191,test,10
480454,test,10
480572,test,8
480707,test,1
480780,test,0
480843,test,6
480970,test,1
480995,test,5
481049,test,1
481266,test,1
481322,test,8
481324,test,3
481360,test,2
481872,test,7
481901,test,10
482049,test,3
482485,test,3
482680,test,10
482763,test,10
483084,test,0
483399,test,3
483989,test,0
484321,test,0
484581,test,10
484728,test,2
484847,test,2
485313,test,10
485471,test,9
485677,test,1
486095,test,2
486202,test,5
486459,test,2
486686,test,10
486892,test,4
486993,test,6
487156,test,10
487483,test,0
487786,test,10
487906,test,10
488180,test,1
488196,test,1
488607,test,3
488770,test,5
488783,test,3
488824,test,1
489139,test,5
490130,test,3
490252,test,10
490412,test,10
490662,test,5
490783,test,2
491054,test,10
491307,test,3
491487,test,3
491726,test,10
491887,test,10
492347,test,4
492369,test,6
492654,test,9
492659,test,1
492674,test,3
492800,test,7
492944,test,1
493693,test,2
493743,test,9
493816,test,8
493835,test,9
494191,test,1
494193,test,2
495272,test,10
495322,test,5
495325,test,1
495530,test,2
495692,test,1
495741,test,3
495834,test,9
