id,filled_emp_length
57167,1
57416,6
65104,2
65426,0
90376,0
90966,8
96844,7
98339,4
98982,1
109355,0
111227,6
117056,1
117794,1
118533,0
123228,0
126392,0
127472,0
131782,0
132172,0
132892,8
133301,10
137271,0
139790,0
140561,2
146564,4
157169,10
164346,0
167189,10
193630,4
197019,4
199889,2
202406,6
208191,10
218282,1
218325,2
220873,10
225054,6
228424,2
231005,10
232302,9
232947,10
235269,1
242260,0
242839,4
243280,0
243622,3
248817,10
254378,10
256704,10
257346,2
258603,4
260324,5
261382,0
262961,4
264267,1
265007,8
265521,5
267736,10
270568,5
273165,4
275790,9
278018,10
280193,7
288720,8
291037,10
292921,0
299092,3
302378,10
309904,0
310989,0
313139,1
313228,0
321575,1
328105,0
333351,0
339287,3
342507,2
346566,0
346579,1
347265,2
347858,6
347987,2
348064,5
348145,2
348584,1
349348,8
349860,0
350405,9
350715,10
350826,3
351049,0
351053,4
351355,6
351369,1
351462,1
352252,8
352302,5
352484,5
352541,1
352787,0
353548,0
355476,2
355680,10
356181,2
356601,2
356756,1
357120,0
357873,7
358372,3
358417,10
358734,3
359183,10
359243,10
359727,9
360343,10
361161,10
361374,0
362277,5
362386,10
362421,2
362721,1
362948,3
363009,3
363233,2
363271,4
363281,10
363457,2
363593,1
363675,4
363765,0
364254,1
364256,1
364420,7
364448,7
364509,1
364713,4
364773,0
364805,6
364944,6
365044,8
365239,3
365326,0
365445,10
365474,0
366109,1
366783,6
366887,10
367112,2
367428,3
368150,10
368435,0
369008,0
369400,1
370084,1
370893,10
370957,2
372591,8
372874,10
373090,0
373881,1
374120,2
374658,10
374938,0
375272,7
375522,9
376019,1
376056,5
376664,9
377020,2
377021,4
377732,9
378481,3
378533,8
378851,2
379338,4
379373,1
379424,10
379465,2
379568,4
379665,1
379679,6
380572,4
380679,10
381084,7
381158,2
381265,2
381581,10
381694,1
381739,6
381874,0
382672,4
382680,2
382687,1
383701,10
383777,1
383934,2
383945,6
384157,10
384201,2
384276,9
384336,1
384343,8
384617,10
384946,2
385004,4
385010,1
385483,3
385924,7
386136,0
386228,8
387383,0
387566,1
387672,7
387759,5
388170,0
388417,5
388441,2
388538,2
388716,1
388719,3
388849,4
389021,7
389675,5
390144,10
391173,1
391175,7
392041,0
392172,1
392748,10
393171,3
393379,5
393800,1
393852,10
395226,2
396135,1
396285,9
398197,3
398765,0
398891,10
399472,3
399592,3
401205,10
401829,0
401867,10
403091,5
403285,0
403312,4
403369,0
403609,4
403739,3
404361,10
404575,0
404601,6
405274,9
406135,2
406232,10
406643,10
407304,10
407572,5
408383,2
408419,10
408511,4
409001,6
409963,0
410093,7
411492,7
411759,4
412585,7
413036,2
413978,9
414165,7
414852,3
414971,1
415465,0
415485,5
415631,4
416002,5
416558,4
416813,1
418953,7
419504,3
421063,1
421199,3
421221,10
421847,10
422806,0
423315,10
423366,0
423412,1
423930,10
424804,10
425290,4
425556,0
425901,2
427109,4
427315,4
427356,10
427370,5
427548,5
427860,2
427893,8
428300,10
428529,4
429255,0
429622,0
429806,3
430098,0
430697,4
430886,2
430971,3
431081,9
431155,9
431299,4
431408,3
431806,7
432058,10
433496,10
433589,4
433800,1
433832,1
433996,3
434055,9
434191,8
434246,0
434336,2
434797,6
435043,2
435468,9
436215,3
436278,0
436294,0
436579,10
436955,3
437284,6
437498,5
437852,0
438224,3
438271,1
438765,7
439010,10
439146,10
439421,10
439523,0
439530,5
439641,4
440469,10
440545,10
440548,2
440579,0
440695,1
440924,1
441061,0
441345,0
441414,3
441665,10
441909,6
441999,9
442140,0
442183,10
442216,2
442326,2
442355,2
442691,0
442869,9
442884,2
442958,8
443100,10
443251,2
443361,3
443419,3
443444,1
443671,10
444466,10
444563,2
444583,10
444831,6
444944,10
444960,2
445134,2
445388,0
446211,1
446864,0
447050,10
447413,4
447457,3
447475,4
447490,4
447558,8
447792,0
447858,4
447932,8
448316,8
448348,4
448439,2
448526,3
448655,5
448835,1
449172,9
449296,0
449299,1
449577,0
449939,7
450187,2
450188,7
450346,1
450656,10
452602,10
452768,10
452850,4
453018,9
453358,0
453462,0
453618,0
453620,0
453667,9
453900,0
454047,10
454105,3
454238,4
454264,0
454329,2
454824,3
455110,0
455261,8
455781,6
455821,0
456023,0
456335,2
456477,2
456582,3
456639,8
456940,5
456982,0
457103,4
457178,0
457562,4
457651,5
457678,10
457826,5
458328,0
458962,1
459076,4
459300,0
459545,0
459770,0
460192,0
460218,2
460307,0
460318,0
460505,2
460863,3
460894,7
461175,3
461379,10
461415,10
461556,4
461673,3
461680,2
461901,2
462068,7
462101,0
462175,3
462312,2
462714,3
463976,1
464368,2
464514,10
465172,4
465500,10
466321,9
466482,10
466516,0
466771,0
467154,3
467986,4
468011,1
468315,0
468409,2
468994,0
469115,10
469289,4
469353,8
469552,2
469683,0
469718,4
469743,0
469851,0
469880,0
470224,8
470284,2
470562,10
471113,10
471184,9
471412,10
471526,2
471580,5
472362,10
472364,10
472523,4
472555,6
473166,2
473198,10
473229,0
473276,4
473569,0
473807,0
474117,0
474135,1
474232,9
