iter	Passed	Remaining
0	11	11294
1	21	10520
2	31	10532
3	42	10547
4	53	10695
5	64	10605
6	74	10592
7	85	10613
8	97	10768
9	109	10862
10	121	10961
11	133	10963
12	144	10960
13	156	11029
14	167	10993
15	178	10974
16	188	10920
17	199	10898
18	211	10904
19	222	10896
20	234	10909
21	244	10851
22	254	10814
23	265	10800
24	276	10799
25	288	10798
26	298	10753
27	308	10701
28	320	10740
29	331	10722
30	342	10703
31	352	10659
32	362	10635
33	376	10689
34	389	10733
35	402	10766
36	414	10776
37	424	10756
38	436	10760
39	446	10723
40	457	10712
41	469	10715
42	481	10718
43	492	10710
44	504	10712
45	517	10725
46	528	10716
47	538	10674
48	548	10654
49	559	10631
50	569	10592
51	579	10558
52	590	10549
53	601	10534
54	611	10502
55	622	10489
56	635	10510
57	645	10480
58	656	10463
59	666	10438
60	677	10423
61	687	10400
62	697	10380
63	707	10346
64	717	10326
65	728	10312
66	740	10310
67	752	10316
68	764	10314
69	775	10302
70	786	10284
71	795	10259
72	807	10249
73	817	10233
74	828	10217
75	837	10182
76	848	10165
77	858	10148
78	868	10125
79	880	10124
80	892	10123
81	906	10142
82	916	10125
83	928	10123
84	940	10129
85	953	10129
86	963	10112
87	975	10113
88	988	10117
89	1000	10114
90	1012	10112
91	1023	10100
92	1035	10094
93	1046	10084
94	1057	10076
95	1068	10058
96	1078	10035
97	1089	10032
98	1101	10024
99	1113	10021
100	1123	10000
101	1133	9982
102	1144	9964
103	1156	9965
104	1168	9961
105	1181	9960
106	1192	9948
107	1203	9937
108	1213	9923
109	1222	9895
110	1233	9880
111	1244	9863
112	1254	9844
113	1264	9830
114	1275	9817
115	1286	9807
116	1298	9798
117	1308	9777
118	1319	9765
119	1329	9750
120	1338	9726
121	1349	9714
122	1360	9703
123	1372	9694
124	1384	9690
125	1397	9694
126	1409	9692
127	1420	9677
128	1432	9675
129	1445	9675
130	1457	9668
131	1471	9677
132	1487	9696
133	1499	9687
134	1510	9676
135	1522	9671
136	1534	9667
137	1547	9669
138	1560	9668
139	1573	9663
140	1583	9648
141	1595	9639
142	1607	9635
143	1618	9620
144	1629	9605
145	1640	9596
146	1650	9577
147	1662	9568
148	1672	9554
149	1683	9540
150	1696	9539
151	1706	9518
152	1716	9503
153	1726	9487
154	1736	9467
155	1747	9456
156	1758	9441
157	1768	9426
158	1778	9407
159	1789	9393
160	1800	9381
161	1810	9367
162	1821	9352
163	1830	9333
164	1841	9317
165	1850	9298
166	1860	9279
167	1870	9263
168	1881	9251
169	1893	9243
170	1902	9224
171	1913	9210
172	1924	9201
173	1934	9181
174	1944	9167
175	1955	9153
176	1966	9143
177	1976	9127
178	1986	9111
179	1998	9102
180	2009	9091
181	2018	9074
182	2028	9056
183	2039	9043
184	2048	9023
185	2059	9014
186	2071	9006
187	2086	9009
188	2098	9002
189	2108	8987
190	2119	8976
191	2130	8965
192	2143	8962
193	2153	8947
194	2166	8942
195	2176	8927
196	2187	8915
197	2199	8907
198	2209	8894
199	2220	8882
200	2229	8864
201	2240	8853
202	2252	8842
203	2261	8824
204	2271	8808
205	2282	8799
206	2295	8792
207	2307	8785
208	2317	8770
209	2328	8758
210	2338	8745
211	2349	8734
212	2360	8720
213	2369	8703
214	2380	8692
215	2391	8679
216	2402	8669
217	2412	8654
218	2422	8639
219	2433	8628
220	2445	8618
221	2457	8611
222	2468	8599
223	2478	8587
224	2489	8574
225	2499	8559
226	2509	8546
227	2519	8531
228	2529	8517
229	2540	8506
230	2550	8491
231	2560	8475
232	2571	8466
233	2583	8458
234	2594	8445
235	2604	8431
236	2613	8414
237	2624	8402
238	2633	8386
239	2644	8373
240	2654	8358
241	2664	8344
242	2673	8327
243	2684	8316
244	2694	8301
245	2704	8288
246	2715	8278
247	2726	8266
248	2735	8250
249	2745	8237
250	2756	8224
251	2765	8208
252	2775	8195
253	2787	8186
254	2796	8169
255	2806	8155
256	2817	8146
257	2827	8133
258	2840	8127
259	2854	8123
260	2864	8111
261	2873	8095
262	2884	8082
263	2894	8070
264	2903	8054
265	2914	8043
266	2925	8031
267	2936	8021
268	2946	8008
269	2958	7999
270	2968	7984
271	2981	7978
272	2991	7966
273	3001	7953
274	3011	7938
275	3022	7927
276	3031	7912
277	3041	7898
278	3052	7888
279	3064	7879
280	3075	7870
281	3085	7856
282	3095	7842
283	3106	7831
284	3117	7821
285	3127	7808
286	3136	7792
287	3147	7781
288	3157	7768
289	3167	7755
290	3178	7743
291	3189	7732
292	3199	7719
293	3210	7709
294	3224	7706
295	3245	7720
296	3260	7716
297	3276	7719
298	3288	7709
299	3300	7700
300	3312	7692
301	3323	7680
302	3334	7670
303	3347	7664
304	3358	7653
305	3369	7642
306	3383	7638
307	3393	7625
308	3403	7611
309	3416	7604
310	3426	7590
311	3435	7575
312	3444	7560
313	3455	7549
314	3465	7535
315	3475	7522
316	3485	7510
317	3495	7496
318	3506	7485
319	3515	7471
320	3526	7459
321	3537	7448
322	3547	7436
323	3557	7421
324	3568	7411
325	3579	7400
326	3591	7391
327	3602	7379
328	3611	7366
329	3621	7352
330	3631	7340
331	3641	7327
332	3651	7313
333	3661	7301
334	3671	7288
335	3682	7277
336	3696	7271
337	3706	7258
338	3719	7252
339	3733	7247
340	3746	7239
341	3758	7230
342	3767	7216
343	3780	7210
344	3793	7202
345	3805	7192
346	3820	7189
347	3831	7178
348	3842	7167
349	3856	7162
350	3867	7151
351	3878	7140
352	3892	7134
353	3905	7126
354	3918	7119
355	3929	7108
356	3940	7096
357	3950	7083
358	3963	7077
359	3975	7067
360	3985	7053
361	3995	7041
362	4006	7031
363	4018	7021
364	4028	7008
365	4038	6995
366	4049	6985
367	4061	6975
368	4073	6965
369	4083	6953
370	4095	6943
371	4106	6932
372	4116	6920
373	4126	6907
374	4137	6895
375	4146	6882
376	4157	6869
377	4167	6857
378	4177	6845
379	4187	6832
380	4197	6820
381	4206	6805
382	4217	6793
383	4227	6782
384	4237	6768
385	4247	6756
